"A","A"
"AAS","AAS"
"AOAC","AOAC"
"APCI","APCI"
"B","B"
"BV","BV"
"CFTRI","CFTRI"
"CHO","CHO"
"Common","Common"
"CRM","CRM"
"DRI","DRI"
"EAA","EAA"
"ESI","ESI"
"FAO","FAO"
"FAOSTAT","FAOSTAT"
"FCT","FCT"
"G","G"
"GC","GC"
"GLVs","GLVs"
"H","H"
"HPLC","HPLC"
"ICMR","ICMR"
"ICP-MS","ICP-MS"
"IDA","IDA"
"IDF","IDF"
"IDF","IDF"
"IFCT","IFCT"
"INFOODS","INFOODS"
"IP-6","IP-6"
"IRFA","IRFA"
"IU","IU"
"Kan","Kan"
"Kash","Kash"
"Kh","Kh"
"kJ","kJ"
"Kon","Kon"
"M","M"
"Mal","Mal"
"Mar","Mar"
"MUFA","MUFA"
"N","N"
"N","N"
"NAC","NAC"
"NDO","NDO"
"NFHS","NFHS"
"NIN","NIN"
"NNMB","NNMB"
"NRFA","NRFA"
"NRL","NRL"
"NVIF","NVIF"
"O","O"
"P","P"
"PEM","PEM"
"PER","PER"
"PSUs","PSUs"
"PUFA","PUFA"
"QAQC","QAQC"
"RAE","RAE"
"RID","RID"
"RP","RP"
"S","S"
"Sci","Sci"
"SD","SD"
"SDF","SDF"
"SSUs","SSUs"
"Tam","Tam"
"TDF","TDF"
"Tel","Tel"
"U","U"
"UT","UT"
"UV","UV"
"VAD","VAD"
"WHO","WHO"
