"AND","and boolena","and bool","and"
"OR","boolean or","bool or","or"
"<","above not same","great not same","high not same","not rich same","good not same","better not same","large not same","more not same","big not same","above not or same","great not or same","high not or same","not or rich same","good not or same","better not or same","large not or same","more not or same","big not or same","big equal not","equal more not","equal large not","equal high not","equal not rich","equal good not","better equal not","above equal not","equal great not","big equal not or","equal more not or","equal large not or","equal not or rich","equal good not or","better equal not or","equal high not or","above equal not or","equal great not or","below","poor","bad","worse","small","less","low"
">","not same small","low not same","below not same","less not same","not poor same","bad not same","not same worse","not or same small","low not or same","below not or same","less not or same","not or poor same","bad not or same","not or same worse","equal not small","equal low not","below equal not","equal less not","equal not poor","bad equal not","equal not worse","equal not or small","equal low not or","below equal not or","equal less not or","equal not or poor","bad equal not or","equal not or worse","above","great","high","rich","good","better","large","more","big"
"<=","same small","low same","below same","less same","poor same","bad same","same worse","or same small","low or same","below or same","less or same","or poor same","bad or same","or same worse","equal small","equal low","below equal","equal less","equal poor","bad equal","equal worse","equal or small","equal low or","below equal or","equal less or","equal or poor","bad equal or","equal or worse","above not","great not","high not","not rich","good not","better not","large not","more not","big not"
">=","above same","great same","high same","rich same","good same","better same","large same","more same","big same","above or same","great or same","high or same","or rich same","good or same","better or same","large or same","more or same","big or same","big equal","equal more","equal large","equal high","equal rich","equal good","better equal","above equal","equal great","big equal or","equal more or","equal large or","equal high or","equal or rich","equal good or","better equal or","above equal or","equal great or","below not","not small","less not","not poor","bad not","not worse","low not"
"!=","not same","equal not","different","inequal"
"=","indifferent","equaluivalent","identical","same","equal","is"
"IS DISTINCT FROM","different from","distinct from","different from is","distinct from is"
"IS NOT DISTINCT FROM","different from not","distinct from not","different from is not","distinct from is not"
"+","addition","plus","sum","add"
"-","subtraction","subtract","minus"
"*","multiplication","multiply","product","into"
"/","division","divide","by"
"%","remainder","modulus","modulo","mod"
"^","exponential","exponent","power","pow"
"&","and bitwise","and bit"
"|","bitwise or","bit or"
"#","bitwise xor","bit xor"
"<<","bitwise left shift","bit left shift","left shift"
">>","bitwise right shift","bit right shift","right shift"
"~","case express match regular sensitive","express match regular sensitive","express match regular"
"~*","case express insensitive match regular","express insensitive match regular"
"!~","case express match not regular sensitive","express match not regular sensitive","express match not regular"
"!~*","case express insensitive match not regular","express insensitive match not regular"
"LIKE","like"
"NOT LIKE","like not"
"SIMILAR TO","similar to"
"NOT SIMILAR TO","not similar to"
"@@","match"
"||","concatenate","concat"
"@>","contains element","contains range","contains"
"<@","of superset","contained element","contained range","contained","constituent of","component of","element of","of portion","member of","of subset","of piece","of part"
"&&","common point","intersects","overlaps"
"<<","absolute left","complete left","exactly left","exact left","left rigidly","left rigid","left strictly","left strict","left pure"
">>","absolute right","complete right","exactly right","exact right","right rigidly","right rigid","right strictly","right strict","pure right"
"&<","lengthen not right","not right stretch","not prolong right","continu not right","not right unfurl","not right spread","expand not right","extend not right","carry not right"
"&>","left lengthen not","left not stretch","left not prolong","continu left not","left not unfurl","left not spread","expand left not","extend left not","carry left not"
"-|-","neighbour","neighbouring","alongside","contiguous","adjoin","touch","beside","adjacent"
"+","union","u"
"*","intersection"
"-","complement relative","comp relative"
"IN","in","on"
"NOT IN","in not","not on"
"ANY","partial","part","some","few","any"
"ALL","every on single","every single","every on","every","each every","all"
